"id","on_date","from_currency","to_currency","rate"
"null","2017-03-27","EUR","SGD","1.512600"
"null","2017-03-27","EUR","HKD","8.393300"
"null","2017-03-27","EUR","AUD","1.418200"
"null","2017-03-27","EUR","CHF","1.071800"
"null","2017-03-27","EUR","KRW","1210.400000"
"null","2017-03-27","EUR","CNY","7.440600"
"null","2017-03-27","EUR","TRY","3.917600"
"null","2017-03-27","EUR","HRK","7.419800"
"null","2017-03-27","EUR","NZD","1.540100"
"null","2017-03-27","EUR","THB","37.353000"
"null","2017-03-27","EUR","NOK","9.179300"
"null","2017-03-27","EUR","RUB","61.686000"
"null","2017-03-27","EUR","INR","70.652000"
"null","2017-03-27","EUR","MXN","20.428000"
"null","2017-03-27","EUR","CZK","27.021000"
"null","2017-03-27","EUR","BRL","3.384500"
"null","2017-03-27","EUR","PLN","4.269500"
"null","2017-03-27","EUR","PHP","54.254000"
"null","2017-03-27","EUR","ZAR","13.482000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-28","EUR","USD","1.088900"
"null","2017-03-28","EUR","IDR","14486.000000"
"null","2017-03-28","EUR","BGN","1.955800"
"null","2017-03-28","EUR","ILS","3.936300"
"null","2017-03-28","EUR","GBP","0.864030"
"null","2017-03-28","EUR","DKK","7.440400"
"null","2017-03-28","EUR","CAD","1.453600"
"null","2017-03-28","EUR","JPY","119.930000"
"null","2017-03-28","EUR","HUF","310.210000"
"null","2017-03-28","EUR","RON","4.549100"
"null","2017-03-28","EUR","MYR","4.805500"
"null","2017-03-28","EUR","SEK","9.550300"
"null","2017-03-28","EUR","SGD","1.514900"
"null","2017-03-28","EUR","HKD","8.458400"
"null","2017-03-28","EUR","AUD","1.426100"
"null","2017-03-28","EUR","CHF","1.071300"
"null","2017-03-28","EUR","KRW","1208.000000"
"null","2017-03-28","EUR","CNY","7.489500"
"null","2017-03-28","EUR","TRY","3.920300"
"null","2017-03-28","EUR","HRK","7.439500"
"null","2017-03-28","EUR","NZD","1.541600"
"null","2017-03-28","EUR","THB","37.404000"
"null","2017-03-28","EUR","NOK","9.218800"
"null","2017-03-28","EUR","RUB","61.866000"
"null","2017-03-28","EUR","INR","70.817000"
"null","2017-03-28","EUR","MXN","20.492000"
"null","2017-03-28","EUR","CZK","27.021000"
"null","2017-03-28","EUR","BRL","3.398000"
"null","2017-03-28","EUR","PLN","4.264100"
"null","2017-03-28","EUR","PHP","54.516000"
"null","2017-03-28","EUR","ZAR","13.761000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-29","EUR","USD","1.085900"
"null","2017-03-29","EUR","IDR","14442.000000"
"null","2017-03-29","EUR","BGN","1.955800"
"null","2017-03-29","EUR","ILS","3.925000"
"null","2017-03-29","EUR","GBP","0.864550"
"null","2017-03-29","EUR","DKK","7.440600"
"null","2017-03-29","EUR","CAD","1.454600"
"null","2017-03-29","EUR","JPY","119.840000"
"null","2017-03-29","EUR","HUF","309.190000"
"null","2017-03-29","EUR","RON","4.552900"
"null","2017-03-29","EUR","MYR","4.795100"
"null","2017-03-29","EUR","SEK","9.531800"
"null","2017-03-29","EUR","SGD","1.513700"
"null","2017-03-29","EUR","HKD","8.434600"
"null","2017-03-29","EUR","AUD","1.428100"
"null","2017-03-29","EUR","CHF","1.069300"
"null","2017-03-29","EUR","KRW","1209.100000"
"null","2017-03-29","EUR","CNY","7.476700"
"null","2017-03-29","EUR","TRY","3.935300"
"null","2017-03-29","EUR","HRK","7.432500"
"null","2017-03-29","EUR","NZD","1.545400"
"null","2017-03-29","EUR","THB","37.371000"
"null","2017-03-29","EUR","NOK","9.238000"
"null","2017-03-29","EUR","RUB","61.884000"
"null","2017-03-29","EUR","INR","70.644000"
"null","2017-03-29","EUR","MXN","20.493000"
"null","2017-03-29","EUR","CZK","27.021000"
"null","2017-03-29","EUR","BRL","3.394700"
"null","2017-03-29","EUR","PLN","4.247000"
"null","2017-03-29","EUR","PHP","54.487000"
"null","2017-03-29","EUR","ZAR","14.052000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-30","EUR","USD","1.074800"
"null","2017-03-30","EUR","IDR","14305.000000"
"null","2017-03-30","EUR","BGN","1.955800"
"null","2017-03-30","EUR","ILS","3.897200"
"null","2017-03-30","EUR","GBP","0.863850"
"null","2017-03-30","EUR","DKK","7.441200"
"null","2017-03-30","EUR","CAD","1.438000"
"null","2017-03-30","EUR","JPY","119.170000"
"null","2017-03-30","EUR","HUF","309.620000"
"null","2017-03-30","EUR","RON","4.556300"
"null","2017-03-30","EUR","MYR","4.749500"
"null","2017-03-30","EUR","SEK","9.550500"
"null","2017-03-30","EUR","SGD","1.500600"
"null","2017-03-30","EUR","HKD","8.350300"
"null","2017-03-30","EUR","AUD","1.406000"
"null","2017-03-30","EUR","CHF","1.071200"
"null","2017-03-30","EUR","KRW","1195.900000"
"null","2017-03-30","EUR","CNY","7.406300"
"null","2017-03-30","EUR","TRY","3.924600"
"null","2017-03-30","EUR","HRK","7.436000"
"null","2017-03-30","EUR","NZD","1.532100"
"null","2017-03-30","EUR","THB","37.011000"
"null","2017-03-30","EUR","NOK","9.190800"
"null","2017-03-30","EUR","RUB","61.224000"
"null","2017-03-30","EUR","INR","69.759000"
"null","2017-03-30","EUR","MXN","20.352000"
"null","2017-03-30","EUR","CZK","27.021000"
"null","2017-03-30","EUR","BRL","3.366600"
"null","2017-03-30","EUR","PLN","4.238900"
"null","2017-03-30","EUR","PHP","54.033000"
"null","2017-03-30","EUR","ZAR","14.122000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-31","EUR","USD","1.073700"
"null","2017-03-31","EUR","IDR","14297.000000"
"null","2017-03-31","EUR","BGN","1.955800"
"null","2017-03-31","EUR","ILS","3.891400"
"null","2017-03-31","EUR","GBP","0.861800"
"null","2017-03-31","EUR","DKK","7.438600"
"null","2017-03-31","EUR","CAD","1.432000"
"null","2017-03-31","EUR","JPY","119.390000"
"null","2017-03-31","EUR","HUF","309.350000"
"null","2017-03-31","EUR","RON","4.544800"
"null","2017-03-31","EUR","MYR","4.746300"
"null","2017-03-31","EUR","SEK","9.562300"
"null","2017-03-31","EUR","SGD","1.497700"
"null","2017-03-31","EUR","HKD","8.345000"
"null","2017-03-31","EUR","AUD","1.398800"
"null","2017-03-31","EUR","CHF","1.069800"
"null","2017-03-31","EUR","KRW","1199.100000"
"null","2017-03-31","EUR","CNY","7.397300"
"null","2017-03-31","EUR","TRY","3.911900"
"null","2017-03-31","EUR","HRK","7.448000"
"null","2017-03-31","EUR","NZD","1.530400"
"null","2017-03-31","EUR","THB","36.951000"
"null","2017-03-31","EUR","NOK","9.169500"
"null","2017-03-31","EUR","RUB","60.338000"
"null","2017-03-31","EUR","INR","69.691000"
"null","2017-03-31","EUR","MXN","20.123000"
"null","2017-03-31","EUR","CZK","27.022000"
"null","2017-03-31","EUR","BRL","3.355500"
"null","2017-03-31","EUR","PLN","4.223300"
"null","2017-03-31","EUR","PHP","53.865000"
"null","2017-03-31","EUR","ZAR","13.816000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-04-01","EUR","USD","1.069100"
"null","2017-04-01","EUR","IDR","14238.000000"
"null","2017-04-01","EUR","BGN","1.955800"
"null","2017-04-01","EUR","ILS","3.885300"
"null","2017-04-01","EUR","GBP","0.855530"
"null","2017-04-01","EUR","DKK","7.437900"
"null","2017-04-01","EUR","CAD","1.426500"
"null","2017-04-01","EUR","JPY","119.550000"
"null","2017-04-01","EUR","HUF","307.620000"
"null","2017-04-01","EUR","RON","4.552500"
"null","2017-04-01","EUR","MYR","4.731300"
"null","2017-04-01","EUR","SEK","9.532200"
"null","2017-04-01","EUR","SGD","1.494000"
"null","2017-04-01","EUR","HKD","8.307400"
"null","2017-04-01","EUR","AUD","1.398200"
"null","2017-04-01","EUR","CHF","1.069600"
"null","2017-04-01","EUR","KRW","1194.500000"
"null","2017-04-01","EUR","CNY","7.364200"
"null","2017-04-01","EUR","TRY","3.889400"
"null","2017-04-01","EUR","HRK","7.446500"
"null","2017-04-01","EUR","NZD","1.530900"
"null","2017-04-01","EUR","THB","36.724000"
"null","2017-04-01","EUR","NOK","9.168300"
"null","2017-04-01","EUR","RUB","60.313000"
"null","2017-04-01","EUR","INR","69.396000"
"null","2017-04-01","EUR","MXN","20.018000"
"null","2017-04-01","EUR","CZK","27.030000"
"null","2017-04-01","EUR","BRL","3.380000"
"null","2017-04-01","EUR","PLN","4.226500"
"null","2017-04-01","EUR","PHP","53.658000"
"null","2017-04-01","EUR","ZAR","14.240000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-04-02","EUR","USD","1.069100"
"null","2017-04-02","EUR","IDR","14238.000000"
"null","2017-04-02","EUR","BGN","1.955800"
"null","2017-04-02","EUR","ILS","3.885300"
"null","2017-04-02","EUR","GBP","0.855530"
"null","2017-04-02","EUR","DKK","7.437900"
"null","2017-04-02","EUR","CAD","1.426500"
"null","2017-04-02","EUR","JPY","119.550000"
"null","2017-04-02","EUR","HUF","307.620000"
